family,method,seed,relearn_corpus,horizon,path,r0,r_t,survival0,survival_t,relearn_growth,survival_decay,conditional_resurrection,conditional_survival,conditional_auc,conditional_num_items,mean_target_margin_growth,conditional_mean_target_margin_growth,retain_nll,refusal_rate
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,retain_adjacent,32,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_retain_adjacent/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.001010258992513,0.001010258992513,3.6125543117523193,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,retain_adjacent,128,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_retain_adjacent/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0071349143981933,0.0071349143981933,3.609949111938477,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,retain_adjacent,512,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_retain_adjacent/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0300326347351074,0.0300326347351074,3.6000936031341553,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,syntax_matched,32,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_syntax_matched/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0015562375386555,0.0015562375386555,3.613826990127563,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,syntax_matched,128,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_syntax_matched/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0058937072753906,0.0058937072753906,3.615493297576904,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,syntax_matched,512,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_syntax_matched/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0223921140034993,0.0223921140034993,3.623608350753784,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,synthetic_biography,32,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_synthetic_bio/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0007468859354654,0.0007468859354654,3.613288640975952,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,synthetic_biography,128,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_synthetic_bio/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.002869447072347,0.002869447072347,3.613072633743286,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,synthetic_biography,512,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed0_synthetic_bio/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0105910301208496,0.0105910301208496,3.6129324436187744,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,retain_adjacent,32,runs/survival/conditional_long_horizon/hlc_sg_k8_tuned_fullft_seed1_retain_adjacent/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.0008982022603352,0.0008982022603352,3.610455513000488,0.0
