family,method,seed,relearn_corpus,horizon,path,r0,r_t,survival0,survival_t,relearn_growth,survival_decay,conditional_resurrection,conditional_survival,conditional_auc,conditional_num_items,mean_target_margin_growth,conditional_mean_target_margin_growth,retain_nll,refusal_rate
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,32,runs/survival/gpt2_long_horizon/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333332,0.3333333333333333,0.6666666666666667,0.9166666666666669,6,5.453477581342061,5.453477581342061,6.149371147155762,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,128,runs/survival/gpt2_long_horizon/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.75,6,6.558812856674194,6.558812856674194,7.465757369995117,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,32,runs/survival/gpt2_long_horizon/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.9270833333333334,6,4.977159182230632,4.977159182230632,4.787690162658691,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,128,runs/survival/gpt2_long_horizon/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4609375,6,9.275292952855429,9.275292952855429,5.814097881317139,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_paraphrase_qa,32,runs/survival/gpt2_long_horizon/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333332,0.3333333333333333,0.6666666666666667,0.9166666666666669,6,5.413102348645528,5.413102348645528,5.031881332397461,0.0
HLC-SG K1 GPT-2,hlc_sg_k1_gpt2_lora_tofu50_seed0,0,heldout_forget_paraphrase_qa,128,runs/survival/gpt2_long_horizon/hlc_sg_k1_gpt2_lora_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.375,6,10.07861057917277,10.07861057917277,7.232771873474121,0.0
HLC-SG K2 GPT-2,hlc_sg_k2_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,32,runs/survival/gpt2_long_horizon/hlc_sg_k2_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.9583333333333334,6,4.947735230127971,4.947735230127971,6.701516151428223,0.0
HLC-SG K2 GPT-2,hlc_sg_k2_gpt2_lora_tofu50_seed0,0,heldout_forget_declarative,128,runs/survival/gpt2_long_horizon/hlc_sg_k2_gpt2_lora_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8645833333333334,6,4.861047983169556,4.861047983169556,7.284077644348144,0.0
HLC-SG K2 GPT-2,hlc_sg_k2_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,32,runs/survival/gpt2_long_horizon/hlc_sg_k2_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.875,6,5.79959774017334,5.79959774017334,4.353896141052246,0.0
HLC-SG K2 GPT-2,hlc_sg_k2_gpt2_lora_tofu50_seed0,0,heldout_forget_mixed_stress,128,runs/survival/gpt2_long_horizon/hlc_sg_k2_gpt2_lora_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,0.8333333333333334,1.0,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.4479166666666667,6,8.13680382569631,8.13680382569631,5.728590965270996,0.0
