method,seed,relearn_corpus,threshold_quantile,path,r0,survival0,h50,h50_censored,auc_survival,r_final,relearn_growth,survival_decay,conditional_resurrection_final,conditional_survival_final,conditional_auc_survival,conditional_num_items,mean_target_margin_final,median_target_margin_final,mean_target_margin_growth_final,conditional_mean_target_margin_growth_final,retain_accuracy_final,retain_nll_final,refusal_rate_final
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,heldout_forget_declarative,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed0_st600_fw2_b0p3_heldout_forget_declarative/survival_curve.csv,0.0,1.0,512,False,0.65625,1.0,1.0,1.0,1.0,0.0,0.65625,6,4.002238432566325,4.557055711746216,7.33006477355957,7.33006477355957,0.0,11.659750938415527,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_declarative,q95,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_declarative/survival_curve.csv,0.0,1.0,512,False,0.6318359375,1.0,1.0,1.0,1.0,0.0,0.6318359375,6,6.367697556813558,5.987468004226685,8.063603083292643,8.063603083292643,0.0,11.884296417236328,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,heldout_forget_declarative,q95,runs/survival/heldout_stress/strong_npo/seed0_st600_fw1_b0p3_heldout_forget_declarative/survival_curve.csv,0.0,1.0,512,False,0.625,1.0,1.0,1.0,1.0,0.0,0.625,6,2.3247907956441245,2.221127510070801,7.61524756749471,7.61524756749471,0.0,12.216678619384766,0.0
npo_paraphrase_fullft_tofu50_seed0,0,heldout_forget_declarative,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed0_heldout_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.041015625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.04921875,5,5.984125057856242,5.8071370124816895,6.114233414332072,6.890255355834961,0.0,11.926143646240234,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/strong_npo/seed0_st600_fw1_b0p3_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,256,False,0.5,1.0,1.0,1.0,1.0,0.0,0.5,6,1.614164113998413,1.119661808013916,6.904620885848999,6.904620885848999,0.0,9.200323104858398,0.0
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed0_st600_fw2_b0p3_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,128,False,0.484375,1.0,1.0,1.0,1.0,0.0,0.484375,6,4.622406721115112,4.453181505203247,7.950233062108357,7.950233062108357,0.0,7.947211265563965,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,128,False,0.169921875,1.0,1.0,1.0,1.0,0.0,0.169921875,6,3.6723575592041016,3.416858673095703,5.3682630856831866,5.3682630856831866,0.0,6.84412145614624,0.0
npo_paraphrase_fullft_tofu50_seed0,0,heldout_forget_mixed_stress,q95,runs/survival/heldout_stress/npo_paraphrase_fullft_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,32,False,0.064453125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.07734375,5,3.062948306401571,2.7245044708251953,3.193056662877401,3.129098129272461,0.0,6.263197898864746,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/strong_npo/seed0_st600_fw1_b0p3_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,256,False,0.4375,1.0,1.0,1.0,1.0,0.0,0.4375,6,1.7586050828297932,1.3374314308166504,7.049061854680379,7.049061854680379,0.0,9.778355598449709,0.0
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,heldout_forget_paraphrase_qa,q95,runs/survival/heldout_stress/syntactic_diversification_matched/seed0_st600_fw2_b0p3_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,64,False,0.3515625,1.0,1.0,1.0,1.0,0.0,0.3515625,6,1.7640036741892495,0.9240336418151855,5.091830015182495,5.091830015182495,0.0,9.762429237365724,0.0
