family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,32,9,0.05555555555555553,0.03703703703703702,-0.01851851851851851,-0.01851851851851851,0.03703703703703702,0.07349309197401638,0.9560185185185185,0.046300817198245074,0.43853715614036276,0.5379429817199708,4.634730842378405,0.0
HLC-SG,128,9,0.05555555555555553,0.6851851851851851,0.6296296296296297,0.6296296296296297,0.6851851851851851,0.47466687473986285,0.7783564814814815,0.13932714195089987,2.4171990288628473,2.465450339847141,7.747084034813775,0.0
HLC-SG,512,9,0.05555555555555553,0.9814814814814815,0.925925925925926,0.925925925925926,0.9777777777777779,0.06666666666666665,0.3506076388888889,0.2697615892687966,5.571264055040148,5.553299513569584,8.396987915039062,0.0
NPO + paraphrases,32,9,0.1666666666666666,0.7777777777777778,0.6111111111111112,0.6111111111111112,0.7333333333333334,0.17320508075688773,0.7395833333333334,0.10155048005794955,0.7906748983595107,0.8322799258761937,3.6053416464063854,0.0
NPO + paraphrases,128,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.2265625,0.05303300858899106,1.9529794322119818,1.909735902150472,5.711195415920681,0.0
NPO + paraphrases,512,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.056640625,0.013258252147247764,4.515821156678376,4.699204232957628,8.167463938395182,0.0
Strong NPO,32,9,0.05555555555555553,0.01851851851851851,-0.03703703703703702,-0.03703703703703702,0.0,0.0,1.0,0.0,1.0995295136063188,1.1627403294598615,4.212707016203138,0.0
Strong NPO,128,9,0.05555555555555553,0.2592592592592593,0.20370370370370372,0.20370370370370372,0.26296296296296295,0.361495521888832,0.9092592592592593,0.13613236795464284,3.302449526610198,3.3616728570726178,6.610054439968533,0.0
Strong NPO,512,9,0.05555555555555553,0.9814814814814815,0.925925925925926,0.925925925925926,0.9777777777777779,0.06666666666666665,0.4097222222222222,0.14790566273623348,6.646968709097968,6.666727963200322,9.816383414798313,0.0
Syntactic diversification,32,9,0.05555555555555553,0.11111111111111106,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.0833333333333333,0.9861111111111112,0.02083333333333332,1.1363806547941986,1.1708004633585611,4.078845447964138,0.0
Syntactic diversification,128,9,0.05555555555555553,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.4037037037037037,0.2632301720107141,0.8539351851851852,0.09947477326928325,3.2829578717549643,3.422890281677246,7.089814451005724,0.0
Syntactic diversification,512,9,0.05555555555555553,0.9814814814814815,0.925925925925926,0.925925925925926,0.9814814814814815,0.05555555555555555,0.48015046296296293,0.14866654579247654,6.33263510244864,6.4097966476723,10.040224075317383,0.0
