family,method,seed,relearn_corpus,horizon,path,r0,r_t,survival0,survival_t,relearn_growth,survival_decay,conditional_resurrection,conditional_survival,conditional_auc,conditional_num_items,mean_target_margin_growth,conditional_mean_target_margin_growth,retain_nll,refusal_rate
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_declarative,32,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.9427083333333334,6,0.6278352737426758,0.6278352737426758,4.645130157470703,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_declarative,128,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_declarative/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8606770833333334,6,0.911348025004069,0.911348025004069,10.57115077972412,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_declarative,512,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_declarative/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6318359375,6,8.063603083292643,8.063603083292643,11.884296417236328,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_mixed_stress,32,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.96875,6,0.2254800796508789,0.2254800796508789,4.6811723709106445,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_mixed_stress,128,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6796875000000001,6,3.1744627952575684,3.1744627952575684,5.757751941680908,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_mixed_stress,512,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.169921875,6,5.3682630856831866,5.3682630856831866,6.84412145614624,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_paraphrase_qa,32,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.96875,6,0.4842235247294108,0.4842235247294108,4.678852081298828,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_paraphrase_qa,128,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6796875000000001,6,3.3794280687967935,3.3794280687967935,6.398126125335693,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_paraphrase_qa,512,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.169921875,6,4.560236136118571,4.560236136118571,6.527554988861084,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,heldout_forget_declarative,32,runs/survival/heldout_stress/hlc_sg_k8_tuned_fullft_seed1_heldout_forget_declarative/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.953125,6,0.0930919647216796,0.0930919647216796,4.853411674499512,0.0
