family,r0,cond_res_32,cond_res_64,cond_res_128,cond_auc_128,retain_nll_128,immediate_matched_seed0
Strong NPO,0.0,0.0,0.0,0.2222222222222221,0.9444444444444444,4.5613618691762285,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1_lr0p1_pen1-2-4-8,0.0,0.0555555555555555,0.3888888888888888,0.8888888888888888,0.6019965277777778,6.549052079518636,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l06_lk2_lr0p1_pen1-2-4-8,0.0,0.1666666666666666,0.4444444444444444,0.8888888888888888,0.5616319444444445,6.802584171295166,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l04_lk1p75_lr0p1_pen1-2-4-8,0.0,0.111111111111111,0.5,0.8888888888888888,0.5577256944444445,6.386727809906006,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p25_lr0p1_pen1-2-4-8,0.0,0.111111111111111,0.2222222222222221,0.9444444444444444,0.6480034722222222,5.890549818674724,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p5_lr0p1_pen1-2-4-8,0.0,0.1666666666666666,0.5,0.9444444444444444,0.5230034722222222,5.751168409983317,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l06_lk1p75_lr0p1_pen1-2-4-8,0.0,0.1666666666666666,0.4444444444444444,1.0,0.5338541666666666,5.755893230438232,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l04_lk2_lr0p1_pen1-2-4-8,0.0,0.1666666666666666,0.4444444444444444,1.0,0.54296875,5.809271176656087,True
HLC-SG stress-trained,0.0,0.2222222222222221,0.4444444444444444,1.0,0.52734375,5.724367618560791,True
HLC-SG,0.0,0.111111111111111,0.5,1.0,0.5221354166666666,6.0338544845581055,True
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk3_lr0p1_pen1-2-4-8,0.1666666666666666,0.0,0.2,0.9333333333333332,0.6916666666666668,5.991164525349935,False
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk1p75_lr0p1_pen1-2-4-8,0.1666666666666666,0.0,0.2666666666666666,0.9333333333333332,0.6666666666666666,6.039432525634766,False
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_lk2_lr0p1_pen1-2-4-8,0.1666666666666666,0.0,0.3999999999999999,1.0,0.6,6.460475603739421,False
