family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,32,3,0.0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.0962250448649375,0.8940972222222223,0.0030070326520292,0.5376474592420789,0.5376474592420789,4.848109404246013,0.0
HLC-SG,64,3,0.0,0.5,0.5,0.4999999999999999,0.5,0.4409585518440984,0.7942708333333334,0.1261610574353054,3.127785020404392,3.127785020404392,4.677163918813069,0.0
HLC-SG,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.5221354166666666,0.17295176444755,4.116833713319567,4.116833713319567,6.0338544845581055,0.0
HLC-SG stress-trained,32,3,0.0,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.0962250448649376,0.8871527777777778,0.0296158369951943,0.9959465662638346,0.9959465662638346,4.162747303644816,0.0
HLC-SG stress-trained,64,3,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5091750772173156,0.7769097222222223,0.1650378853987718,2.010743962393867,2.010743962393867,5.413494269053142,0.0
HLC-SG stress-trained,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.52734375,0.2097405274790437,3.381859832339817,3.381859832339817,5.724367618560791,0.0
Strong NPO,32,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2698894076877172,1.2698894076877172,3.654770692189534,0.0
Strong NPO,64,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6387290954589844,2.6387290954589844,3.833146254221598,0.0
Strong NPO,128,3,0.0,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.2222222222222221,0.0962250448649376,0.9444444444444444,0.0240562612162343,4.65944226582845,4.65944226582845,4.5613618691762285,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg0p25_pen1-2-4-8,32,3,0.0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.0962250448649375,0.920138888888889,0.0420984571284102,0.5678264300028483,0.5678264300028483,4.362897078196208,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg0p25_pen1-2-4-8,64,3,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4811252243246882,0.8211805555555557,0.148079184975972,2.621233277850681,2.621233277850681,4.657164414723714,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg0p25_pen1-2-4-8,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.5494791666666666,0.1926907368092284,4.4540061420864525,4.4540061420864525,5.910231590270996,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pen1-2-4-8,32,3,0.0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.0962250448649375,0.920138888888889,0.0420984571284102,0.5651924875047472,0.5651924875047472,4.753787040710449,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pen1-2-4-8,64,3,0.0,0.3888888888888888,0.3888888888888888,0.3888888888888888,0.3888888888888888,0.5357583756107198,0.8350694444444445,0.1660415795343421,3.181950542661879,3.181950542661879,5.326392650604248,0.0
hlc_sg_stress_sweep_k8_ilr0p001_olr0p002_l03_lk1_lr0p1_lmg1_pen1-2-4-8,128,3,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2886751345948128,0.6119791666666666,0.2706705239808785,4.060231102837457,4.060231102837457,6.05990997950236,0.0
