family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,8,3,0.0,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.09622504486493759,0.9652777777777778,0.06014065304058596,0.15062083138359914,0.15062083138359914,3.660153388977051,0.0
HLC-SG,16,3,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.9270833333333334,0.05412658773652741,0.31806092792087126,0.31806092792087126,3.7226410706837973,0.0
HLC-SG,32,3,0.0,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.09622504486493759,0.8940972222222223,0.003007032652029274,0.5376474592420789,0.5376474592420789,4.848109404246013,0.0
HLC-SG,64,3,0.0,0.5,0.5,0.49999999999999994,0.5,0.44095855184409843,0.7942708333333334,0.12616105743530545,3.127785020404392,3.127785020404392,4.677163918813069,0.0
HLC-SG,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.5221354166666666,0.17295176444755003,4.116833713319567,4.116833713319567,6.0338544845581055,0.0
HLC-SG stress-trained,8,3,0.0,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.09622504486493759,0.9652777777777778,0.06014065304058596,0.15208652284410262,0.15208652284410262,3.6612056891123452,0.0
HLC-SG stress-trained,16,3,0.0,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.09622504486493759,0.9409722222222223,0.03007032652029298,0.2591145833333333,0.2591145833333333,4.0211537679036455,0.0
HLC-SG stress-trained,32,3,0.0,0.22222222222222218,0.22222222222222218,0.22222222222222213,0.22222222222222218,0.09622504486493764,0.8871527777777778,0.029615836995194374,0.9959465662638346,0.9959465662638346,4.162747303644816,0.0
HLC-SG stress-trained,64,3,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5091750772173156,0.7769097222222223,0.16503788539877184,2.010743962393867,2.010743962393867,5.413494269053142,0.0
HLC-SG stress-trained,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.52734375,0.20974052747904373,3.3818598323398166,3.3818598323398166,5.724367618560791,0.0
Strong NPO,8,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3196804258558485,0.3196804258558485,3.4907751083374023,0.0
Strong NPO,16,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6199307971530491,0.6199307971530491,3.5355889797210693,0.0
Strong NPO,32,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2698894076877172,1.2698894076877172,3.6547706921895347,0.0
Strong NPO,64,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6387290954589844,2.6387290954589844,3.833146254221598,0.0
Strong NPO,128,3,0.0,0.22222222222222218,0.22222222222222218,0.22222222222222213,0.22222222222222218,0.09622504486493764,0.9444444444444445,0.024056261216234325,4.65944226582845,4.65944226582845,4.5613618691762285,0.0
hlc_sg_stress_sweep_lk10_lr1,8,3,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.15914779239230684,0.1689940770467122,3.6865599950154624,0.0
hlc_sg_stress_sweep_lk10_lr1,16,3,0.1666666666666666,0.0,-0.1666666666666666,-0.1666666666666666,0.0,0.0,1.0,0.0,-0.003932952880859329,0.34546852111816406,4.162264426549275,0.0
hlc_sg_stress_sweep_lk10_lr1,32,3,0.1666666666666666,0.11111111111111106,-0.05555555555555553,-0.05555555555555553,0.0,0.0,1.0,0.0,0.607235378689236,0.6976067860921225,4.203173240025838,0.0
hlc_sg_stress_sweep_lk10_lr1,64,3,0.1666666666666666,0.3333333333333333,0.16666666666666663,0.16666666666666663,0.20000000000000004,0.2,0.9500000000000001,0.049999999999999975,1.7182087898254395,1.7517882664998374,4.641171773274739,0.0
hlc_sg_stress_sweep_lk10_lr1,128,3,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.6749999999999999,0.07500000000000002,3.0765949885050454,3.0459525426228837,5.412288824717204,0.0
hlc_sg_stress_sweep_lk10_lr3,8,3,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.15461921691894528,0.17037404378255205,3.6961991786956787,0.0
hlc_sg_stress_sweep_lk10_lr3,16,3,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.32820060518052846,0.3443966547648112,3.7584851582845054,0.0
hlc_sg_stress_sweep_lk10_lr3,32,3,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.6982435650295681,0.7272469838460287,4.322847684224446,0.0
hlc_sg_stress_sweep_lk10_lr3,64,3,0.1666666666666666,0.5555555555555555,0.3888888888888889,0.3888888888888889,0.4666666666666666,0.41633319989322654,0.8833333333333333,0.10408329997330668,1.653325080871582,1.682712491353353,4.907129128774007,0.0
hlc_sg_stress_sweep_lk10_lr3,128,3,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.575,0.15612494995995996,2.69451551967197,2.6928524017333983,6.38485066095988,0.0
