family,relearn_corpus,n,auc_mean,auc_std,r_final_mean,r_final_std,mean_target_margin_mean,mean_target_margin_std,median_target_margin_mean,median_target_margin_std,retain_nll_mean,retain_nll_std
HLC-SG,retain_adjacent,3,0.9444444444444445,0.09622504486493759,0.05555555555555553,0.0962250448649376,-1.6564175287882488,0.03987047823484127,-1.8361117045084636,0.04356964065995936,3.611762603123983,0.0011096821410908303
HLC-SG,syntax_matched,3,0.9444444444444445,0.09622504486493759,0.05555555555555553,0.0962250448649376,-1.6565806600782607,0.04093641117837385,-1.8365602493286133,0.044508465847937745,3.613042672475179,0.001125004518938343
HLC-SG,synthetic_biography,3,0.9444444444444445,0.09622504486493759,0.05555555555555553,0.0962250448649376,-1.6575815942552354,0.04112529240654484,-1.837949275970459,0.04450335642847294,3.6125308672587075,0.0011392302934257962
NPO,synthetic_biography,1,0.1666666666666666,,0.8333333333333334,,0.9684712092081704,,0.5191354751586914,,3.673882484436035,
NPO + paraphrases,retain_adjacent,3,0.8333333333333334,0.0,0.1666666666666666,0.0,-0.13688140445285366,0.03823079065903362,-0.4127974510192871,0.04610138185670233,3.471580902735392,1.2122672377087454e-05
NPO + paraphrases,syntax_matched,3,0.8333333333333334,0.0,0.1666666666666666,0.0,-0.1343180338541666,0.03821000002650585,-0.41099596023559565,0.0455909064665534,3.4716601371765137,1.1623975508927255e-05
NPO + paraphrases,synthetic_biography,3,0.8333333333333334,0.0,0.1666666666666666,0.0,-0.13501988516913516,0.03821467764704794,-0.41136471430460614,0.04542181298058989,3.4716240564982095,1.2535316411575348e-05
Strong NPO,retain_adjacent,3,0.7777777777777778,0.09622504486493764,0.22222222222222218,0.09622504486493764,-0.1670705477396647,0.1682517021875924,-0.48158740997314453,0.12685431930431995,3.471585750579834,1.254136116955342e-05
Strong NPO,syntax_matched,3,0.7777777777777778,0.09622504486493764,0.22222222222222218,0.09622504486493764,-0.16434219148423934,0.16838861695940863,-0.47927125295003253,0.12727291162123813,3.4716663360595703,1.2541361169660005e-05
Strong NPO,synthetic_biography,3,0.7777777777777778,0.09622504486493764,0.22222222222222218,0.09622504486493764,-0.1652070681254069,0.16824119248824562,-0.4806707700093587,0.1271449963847729,3.4716301759084067,1.3763038162053374e-05
Syntactic diversification,retain_adjacent,3,0.5555555555555556,0.4811252243246882,0.4444444444444444,0.4811252243246882,1.274839348263211,2.3271796484511644,1.1170913378397624,2.5870627053813613,3.4715967973073325,7.101285805138356e-05
Syntactic diversification,syntax_matched,3,0.5555555555555556,0.4811252243246882,0.4444444444444444,0.4811252243246882,1.2793667051527235,2.330459162333129,1.1225020090738933,2.592840517819611,3.471682627995809,8.126903337216531e-05
Syntactic diversification,synthetic_biography,3,0.5555555555555556,0.4811252243246882,0.4444444444444444,0.4811252243246882,1.2725576294793022,2.319950398361001,1.113527774810791,2.5776873040427586,3.4716391563415527,7.117343686516598e-05
