family,relearn_corpus,n,auc_mean,auc_std,r_final_mean,r_final_std,retain_nll_mean,refusal_rate_mean,censored_count
HLC-SG,retain_adjacent,3,0.9444444444444445,0.09622504486493759,0.05555555555555553,0.0962250448649376,3.611762603123983,0.0,3
HLC-SG,syntax_matched,3,0.9444444444444445,0.09622504486493759,0.05555555555555553,0.0962250448649376,3.613042672475179,0.0,3
HLC-SG,synthetic_biography,3,0.9444444444444445,0.09622504486493759,0.05555555555555553,0.0962250448649376,3.6125308672587075,0.0,3
NPO,synthetic_biography,1,0.1666666666666666,,0.8333333333333334,,3.673882484436035,0.0,0
NPO + paraphrases,retain_adjacent,3,0.8333333333333334,0.0,0.1666666666666666,0.0,3.471580902735392,0.0,3
NPO + paraphrases,syntax_matched,3,0.8333333333333334,0.0,0.1666666666666666,0.0,3.4716601371765137,0.0,3
NPO + paraphrases,synthetic_biography,3,0.8333333333333334,0.0,0.1666666666666666,0.0,3.4716240564982095,0.0,3
Strong NPO,retain_adjacent,3,0.7777777777777778,0.09622504486493764,0.22222222222222218,0.09622504486493764,3.471585750579834,0.0,3
Strong NPO,syntax_matched,3,0.7777777777777778,0.09622504486493764,0.22222222222222218,0.09622504486493764,3.4716663360595703,0.0,3
Strong NPO,synthetic_biography,3,0.7777777777777778,0.09622504486493764,0.22222222222222218,0.09622504486493764,3.4716301759084067,0.0,3
Syntactic diversification,retain_adjacent,3,0.5555555555555556,0.4811252243246882,0.4444444444444444,0.4811252243246882,3.4715967973073325,0.0,2
Syntactic diversification,syntax_matched,3,0.5555555555555556,0.4811252243246882,0.4444444444444444,0.4811252243246882,3.471682627995809,0.0,2
Syntactic diversification,synthetic_biography,3,0.5555555555555556,0.4811252243246882,0.4444444444444444,0.4811252243246882,3.4716391563415527,0.0,2
