family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,32,9,0.05555555555555553,0.1296296296296296,0.07407407407407406,0.07407407407407404,0.09259259259259257,0.12108052620946314,0.9317129629629629,0.05702140590248257,0.6047822281166358,0.6293297873602973,4.480303764343262,0.0
HLC-SG,128,9,0.05555555555555553,0.9814814814814815,0.925925925925926,0.925925925925926,0.9814814814814815,0.05555555555555555,0.6051504629629629,0.15303710506284923,3.6736028106124317,3.658905566180194,6.179120434655084,0.0
HLC-SG,512,9,0.05555555555555553,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.19526909722222222,0.13236787858554067,4.851968518009892,4.7526102101361305,7.217781490749783,0.0
NPO + paraphrases,32,9,0.1666666666666666,0.8148148148148148,0.6481481481481483,0.6481481481481483,0.7777777777777778,0.253859103528797,0.6666666666666666,0.21334848985872853,1.737228066832931,1.7778721491495766,3.582766135533651,0.0
NPO + paraphrases,128,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.19444444444444445,0.0795345925405435,3.1249079969194202,3.021115303039551,4.5887537532382545,0.0
NPO + paraphrases,512,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.04861111111111111,0.019883648135135875,3.44503602275142,3.203954781426324,7.115592320760091,0.0
Strong NPO,32,9,0.05555555555555553,0.12962962962962962,0.07407407407407408,0.07407407407407408,0.1111111111111111,0.3333333333333333,0.9722222222222222,0.08333333333333333,1.3282233520790383,1.3909031055591725,3.8515417840745716,0.0
Strong NPO,128,9,0.05555555555555553,0.4259259259259259,0.37037037037037035,0.37037037037037035,0.4259259259259259,0.4418326033496352,0.7893518518518519,0.30126405504838694,4.116873414428145,4.11420911859583,4.833220932218763,0.0
Strong NPO,512,9,0.05555555555555553,0.9074074074074073,0.8518518518518519,0.8518518518518519,0.9074074074074073,0.2777777777777778,0.3616898148148148,0.25220263285099803,6.243074973424275,6.170133491798683,7.208942625257704,0.0
Syntactic diversification,32,9,0.4444444444444444,0.9444444444444444,0.5,0.5,0.6000000000000001,0.45825756949558405,0.7104166666666667,0.24847189227355274,1.5865245836752433,1.3168062845865884,3.6656642225053577,0.0
Syntactic diversification,128,9,0.4444444444444444,1.0,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5,0.44427083333333334,0.42029943055888735,2.3955484761132135,2.186859607696533,4.642289956410726,0.0
Syntactic diversification,512,9,0.4444444444444444,1.0,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5,0.36106770833333335,0.47939038347729485,2.079479208698979,1.8142906824747722,7.080630302429199,0.0
