method,seed,relearn_corpus,threshold_quantile,path,r0,survival0,h50,h50_censored,auc_survival,r_final,relearn_growth,survival_decay,conditional_resurrection_final,conditional_survival_final,conditional_auc_survival,conditional_num_items,mean_target_margin_final,median_target_margin_final,mean_target_margin_growth_final,conditional_mean_target_margin_growth_final,retain_accuracy_final,retain_nll_final,refusal_rate_final
npo_strong_matched_seed0_st600_fw1_b0p3,0,forget_declarative,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed0_st600_fw1_b0p3_forget_declarative/survival_curve.csv,0.0,1.0,256.0,False,0.46875,1.0,1.0,1.0,1.0,0.0,0.46875,6,2.7707456747690835,1.559560775756836,8.061202446619669,8.061202446619669,0.0,10.954157829284668,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_declarative,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_declarative/survival_curve.csv,0.0,1.0,128.0,False,0.2275390625,1.0,1.0,1.0,1.0,0.0,0.2275390625,6,4.476381619771321,4.173244953155518,6.172287146250407,6.172287146250407,0.0,11.356630325317385,0.0
syntactic_diversification_fullft_tofu50_seed0,0,forget_declarative,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed0_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,16.0,False,0.0390625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.046875,5,4.2113847732543945,3.478773355484009,4.234762350718181,3.703943061828613,0.0,10.932968139648438,0.0
npo_paraphrase_fullft_tofu50_seed0,0,forget_declarative,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.03515625,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0421875,5,3.926599979400635,3.7182013988494873,4.056708335876465,4.017432689666748,0.0,10.456028938293455,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed0_st600_fw1_b0p3_forget_mixed_stress/survival_curve.csv,0.0,1.0,256.0,False,0.3125,1.0,1.0,1.0,1.0,0.0,0.3125,6,1.8397257328033447,1.346041202545166,7.130182504653931,7.130182504653931,0.0,5.419509410858154,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.0,1.0,128.0,False,0.14453125,1.0,1.0,1.0,1.0,0.0,0.14453125,6,5.0638218720753985,5.625773668289185,6.759727398554484,6.759727398554484,0.0,5.209158897399902,0.0
syntactic_diversification_fullft_tofu50_seed0,0,forget_mixed_stress,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,32.0,False,0.05859375,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0703125,5,2.947761138280233,2.6131062507629395,2.9711387157440186,2.8989030838012697,0.0,4.971569538116455,0.0
npo_paraphrase_fullft_tofu50_seed0,0,forget_mixed_stress,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,4.0,False,0.0152994791666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.018359375,5,2.22781753540039,1.8776397705078125,2.3579258918762207,2.3325016021728517,0.0,4.918610095977783,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed0_st600_fw1_b0p3_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,256.0,False,0.34375,1.0,1.0,1.0,1.0,0.0,0.34375,6,2.1144371032714844,1.2295947074890137,7.40489387512207,7.40489387512207,0.0,6.817443370819092,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,64.0,False,0.08203125,1.0,1.0,1.0,1.0,0.0,0.08203125,6,1.957212766011556,0.7124276161193848,3.653118292490641,3.653118292490641,0.0,6.490663528442383,0.0
npo_paraphrase_fullft_tofu50_seed0,0,forget_paraphrase_qa,q95,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,16.0,False,0.0172526041666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.020703125,5,2.274540583292643,1.1462888717651367,2.404648939768473,1.5779687881469726,0.0,5.661182403564453,0.0
syntactic_diversification_fullft_tofu50_seed0,0,forget_paraphrase_qa,q95,runs/survival/missing_baselines_stress/syntactic_diversification_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,0.8333333333333334,8.0,False,0.0146484375,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.017578125,5,2.2429563204447427,1.0993952751159668,2.266333897908529,1.368783378601074,0.0,5.785145282745361,0.0
npo_strong_matched_seed1_st600_fw1_b0p3,1,forget_declarative,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed1_st600_fw1_b0p3_forget_declarative/survival_curve.csv,0.0,1.0,,True,0.8645833333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8645833333333334,6,-0.2245450019836425,-0.7841525077819824,5.329537868499756,5.329537868499756,0.0,11.783123016357422,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_declarative,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_declarative/survival_curve.csv,0.0,1.0,128.0,False,0.5283203125,1.0,1.0,1.0,1.0,0.0,0.5283203125,6,3.2225597699483237,3.1692607402801514,4.88618262608846,4.88618262608846,0.0,11.224459648132324,0.0
