family,method,seed,relearn_corpus,horizon,path,r0,r_t,survival0,survival_t,relearn_growth,survival_decay,conditional_resurrection,conditional_survival,conditional_auc,conditional_num_items,mean_target_margin_growth,conditional_mean_target_margin_growth,retain_nll,refusal_rate
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_declarative,32,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_declarative/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.675,5,3.388904333114624,3.4863393783569334,3.6053152084350586,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_declarative,128,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_declarative/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.16875,5,4.969387133916219,5.046927738189697,5.540609359741211,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_declarative,512,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_declarative/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0421875,5,4.056708335876465,4.017432689666748,10.456028938293455,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_mixed_stress,32,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.29375,5,2.5765816370646157,2.674218940734863,3.5702571868896484,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_mixed_stress,128,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0734375,5,3.135486284891764,3.0346856117248535,4.055541515350342,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_mixed_stress,512,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.018359375,5,2.3579258918762207,2.3325016021728517,4.918610095977783,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_paraphrase_qa,32,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.33125,5,5.362985610961914,5.425951766967773,3.563535690307617,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_paraphrase_qa,128,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0828125,5,2.6863516171773276,2.319127655029297,4.109063625335693,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed0,0,forget_paraphrase_qa,512,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.020703125,5,2.404648939768473,1.5779687881469726,5.661182403564453,0.0
NPO + paraphrases,npo_paraphrase_fullft_tofu50_seed1,1,forget_declarative,32,runs/survival/missing_baselines_stress/npo_paraphrase_fullft_seed1_forget_declarative/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.675,5,0.805639902750651,0.7799488067626953,3.609929323196411,0.0
