family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,8,6,0.0,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.08606629658238701,0.9652777777777778,0.05379143536399187,0.15135367711385087,0.15135367711385087,3.6606795390446982,0.0
HLC-SG,16,6,0.0,0.13888888888888884,0.13888888888888884,0.13888888888888884,0.13888888888888884,0.06804138174397714,0.9340277777777778,0.039892796156514074,0.2885877556271023,0.2885877556271023,3.8718974192937217,0.0
HLC-SG,32,6,0.0,0.16666666666666663,0.16666666666666663,0.1666666666666666,0.16666666666666663,0.10540925533894598,0.890625,0.019207384286026825,0.7667970127529568,0.7667970127529568,4.5054283539454145,0.0
HLC-SG,128,6,0.0,1.0,1.0,1.0,1.0,0.0,0.5247395833333334,0.17195783988500402,3.7493467728296914,3.7493467728296914,5.879111051559448,0.0
HLC-SG,512,6,0.0,1.0,1.0,1.0,1.0,0.0,0.15201822916666666,0.06982433256838043,4.60151211420695,4.60151211420695,7.281137784322103,0.0
Strong NPO,8,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3196804258558485,0.3196804258558485,3.4907751083374023,0.0
Strong NPO,16,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6199307971530491,0.6199307971530491,3.5355889797210693,0.0
Strong NPO,32,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2698894076877172,1.2698894076877172,3.6547706921895347,0.0
Strong NPO,128,3,0.0,0.22222222222222218,0.22222222222222218,0.22222222222222213,0.22222222222222218,0.09622504486493764,0.9444444444444445,0.024056261216234325,4.65944226582845,4.65944226582845,4.5613618691762285,0.0
Strong NPO,512,3,0.0,1.0,1.0,1.0,1.0,0.0,0.375,0.08267972847076846,7.532092942131889,7.532092942131889,7.730370203653972,0.0
