family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,8,3,0.0,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.09622504486493759,0.9652777777777778,0.06014065304058596,0.15062083138359914,0.15062083138359914,3.660153388977051,0.0
HLC-SG,16,3,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.9270833333333334,0.05412658773652741,0.31806092792087126,0.31806092792087126,3.7226410706837973,0.0
HLC-SG,32,3,0.0,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.09622504486493759,0.8940972222222223,0.003007032652029274,0.5376474592420789,0.5376474592420789,4.848109404246013,0.0
HLC-SG,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.5221354166666666,0.17295176444755003,4.116833713319567,4.116833713319567,6.0338544845581055,0.0
HLC-SG,512,3,0.0,1.0,1.0,1.0,1.0,0.0,0.1513671875,0.0729943724252885,5.528377612431844,5.528377612431844,7.685484250386556,0.0
HLC-SG stress-trained,8,3,0.0,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.09622504486493759,0.9652777777777778,0.06014065304058596,0.15208652284410262,0.15208652284410262,3.6612056891123452,0.0
HLC-SG stress-trained,16,3,0.0,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.11111111111111106,0.09622504486493759,0.9409722222222223,0.03007032652029298,0.2591145833333333,0.2591145833333333,4.0211537679036455,0.0
HLC-SG stress-trained,32,3,0.0,0.22222222222222218,0.22222222222222218,0.22222222222222213,0.22222222222222218,0.09622504486493764,0.8871527777777778,0.029615836995194374,0.9959465662638346,0.9959465662638346,4.162747303644816,0.0
HLC-SG stress-trained,128,3,0.0,1.0,1.0,1.0,1.0,0.0,0.52734375,0.20974052747904373,3.3818598323398166,3.3818598323398166,5.724367618560791,0.0
HLC-SG stress-trained,512,3,0.0,1.0,1.0,1.0,1.0,0.0,0.15266927083333334,0.08281994672198571,3.6746466159820557,3.6746466159820557,6.876791318257649,0.0
Strong NPO,8,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3196804258558485,0.3196804258558485,3.4907751083374023,0.0
Strong NPO,16,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6199307971530491,0.6199307971530491,3.5355889797210693,0.0
Strong NPO,32,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2698894076877172,1.2698894076877172,3.6547706921895347,0.0
Strong NPO,128,3,0.0,0.22222222222222218,0.22222222222222218,0.22222222222222213,0.22222222222222218,0.09622504486493764,0.9444444444444445,0.024056261216234325,4.65944226582845,4.65944226582845,4.5613618691762285,0.0
Strong NPO,512,3,0.0,1.0,1.0,1.0,1.0,0.0,0.375,0.08267972847076846,7.532092942131889,7.532092942131889,7.730370203653972,0.0
