family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,8,9,0.05555555555555553,0.09259259259259256,0.03703703703703702,0.03703703703703702,0.03703703703703702,0.07349309197401638,0.9768518518518517,0.04593318248376022,0.1498620068585431,0.15607548113222472,3.65965109401279,0.0
HLC-SG,16,9,0.05555555555555553,0.1296296296296296,0.07407407407407404,0.07407407407407404,0.09259259259259256,0.08784104611578829,0.9560185185185185,0.04563694245866292,0.2647712142379195,0.2899502400998715,3.914775662951999,0.0
HLC-SG,32,9,0.05555555555555553,0.1296296296296296,0.07407407407407406,0.07407407407407404,0.09259259259259257,0.12108052620946314,0.9317129629629629,0.05702140590248257,0.6047822281166358,0.6293297873602973,4.480303764343262,0.0
HLC-SG,128,9,0.05555555555555553,0.9814814814814815,0.925925925925926,0.925925925925926,0.9814814814814815,0.05555555555555555,0.6051504629629629,0.15303710506284923,3.6736028106124317,3.658905566180194,6.179120434655084,0.0
HLC-SG,512,9,0.05555555555555553,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.19526909722222222,0.13236787858554067,4.851968518009892,4.7526102101361305,7.217781490749783,0.0
Strong NPO,8,9,0.05555555555555553,0.05555555555555553,0.0,0.0,0.0,0.0,1.0,0.0,0.32846952367711946,0.336316857514558,3.507457176844279,0.0
Strong NPO,16,9,0.05555555555555553,0.03703703703703702,-0.01851851851851851,-0.01851851851851851,0.0,0.0,1.0,0.0,0.5852762681466561,0.5966643086186162,3.596200280719333,0.0
Strong NPO,32,9,0.05555555555555553,0.12962962962962962,0.07407407407407408,0.07407407407407408,0.1111111111111111,0.3333333333333333,0.9722222222222222,0.08333333333333333,1.3282233520790383,1.3909031055591725,3.8515417840745716,0.0
Strong NPO,128,9,0.05555555555555553,0.4259259259259259,0.37037037037037035,0.37037037037037035,0.4259259259259259,0.4418326033496352,0.7893518518518519,0.30126405504838694,4.116873414428145,4.11420911859583,4.833220932218763,0.0
Strong NPO,512,9,0.05555555555555553,0.9074074074074073,0.8518518518518519,0.8518518518518519,0.9074074074074073,0.2777777777777778,0.3616898148148148,0.25220263285099803,6.243074973424275,6.170133491798683,7.208942625257704,0.0
