family,relearn_corpus,horizon,n,r0,r_t,cond_res,cond_auc,margin_growth,retain_nll
HLC-SG,forget_declarative,8,3,0.05555555555555553,0.1666666666666666,0.11111111111111106,0.9305555555555557,0.18081887563069662,3.65124241511027
HLC-SG,forget_declarative,16,3,0.05555555555555553,0.05555555555555553,0.05555555555555553,0.9236111111111112,0.18720897038777662,4.295071045557658
HLC-SG,forget_declarative,32,3,0.05555555555555553,0.0,0.0,0.9479166666666666,0.26760228474934894,5.709611097971599
HLC-SG,forget_declarative,128,3,0.05555555555555553,0.9444444444444445,0.9444444444444445,0.7300347222222223,2.6277123822106256,9.644367694854736
HLC-SG,forget_declarative,512,3,0.05555555555555553,1.0,1.0,0.314453125,5.486461639404297,10.350529352823893
HLC-SG,forget_mixed_stress,8,3,0.05555555555555553,0.05555555555555553,0.0,1.0,0.13795073827107743,3.6662112871805825
HLC-SG,forget_mixed_stress,16,3,0.05555555555555553,0.1666666666666666,0.11111111111111106,0.9722222222222223,0.2958808475070529,3.7262138525644937
HLC-SG,forget_mixed_stress,32,3,0.05555555555555553,0.1666666666666666,0.11111111111111106,0.9305555555555557,0.665352079603407,3.858347733815511
HLC-SG,forget_mixed_stress,128,3,0.05555555555555553,1.0,1.0,0.6354166666666666,2.96329058541192,4.468707084655762
HLC-SG,forget_mixed_stress,512,3,0.05555555555555553,1.0,1.0,0.15885416666666666,5.211930407418145,5.133816560109456
HLC-SG,forget_paraphrase_qa,8,3,0.05555555555555553,0.05555555555555553,0.0,1.0,0.13081640667385522,3.661499579747518
HLC-SG,forget_paraphrase_qa,16,3,0.05555555555555553,0.1666666666666666,0.11111111111111106,0.9722222222222223,0.311223824818929,3.723042090733846
HLC-SG,forget_paraphrase_qa,32,3,0.05555555555555553,0.22222222222222218,0.16666666666666666,0.9166666666666666,0.8813923199971517,3.872952461242676
HLC-SG,forget_paraphrase_qa,128,3,0.05555555555555553,1.0,1.0,0.45,5.429805464214748,4.424286524454753
HLC-SG,forget_paraphrase_qa,512,3,0.05555555555555553,1.0,1.0,0.1125,3.857513507207235,6.168998559315999
Strong NPO,forget_declarative,8,3,0.05555555555555553,0.05555555555555553,0.0,1.0,0.43391752243041987,3.4759304523468018
Strong NPO,forget_declarative,16,3,0.05555555555555553,0.05555555555555553,0.0,1.0,0.6680138905843099,3.5154351393381753
Strong NPO,forget_declarative,32,3,0.05555555555555553,0.05555555555555553,0.0,1.0,1.2544305059644911,3.657846530278524
Strong NPO,forget_declarative,128,3,0.05555555555555553,0.4444444444444444,0.4444444444444444,0.763888888888889,4.037050935957168,5.916608810424805
Strong NPO,forget_declarative,512,3,0.05555555555555553,0.7222222222222222,0.7222222222222222,0.4756944444444445,5.817336665259467,9.93692127863566
Strong NPO,forget_mixed_stress,8,3,0.05555555555555553,0.05555555555555553,0.0,1.0,0.2214335865444607,3.4894751707712808
Strong NPO,forget_mixed_stress,16,3,0.05555555555555553,0.05555555555555553,0.0,1.0,0.5486607551574707,3.528736193974813
Strong NPO,forget_mixed_stress,32,3,0.05555555555555553,0.3333333333333333,0.3333333333333333,0.9166666666666666,1.737527847290039,3.598869959513346
Strong NPO,forget_mixed_stress,128,3,0.05555555555555553,0.4444444444444444,0.4444444444444444,0.701388888888889,4.331997050179376,3.987422227859497
Strong NPO,forget_mixed_stress,512,3,0.05555555555555553,1.0,1.0,0.3072916666666667,6.245499716864692,5.3134182294209795
Strong NPO,forget_paraphrase_qa,8,3,0.05555555555555553,0.05555555555555553,0.0,1.0,0.33005746205647785,3.5569659074147544
Strong NPO,forget_paraphrase_qa,16,3,0.05555555555555553,0.0,0.0,1.0,0.539154158698188,3.7444295088450112
Strong NPO,forget_paraphrase_qa,32,3,0.05555555555555553,0.0,0.0,1.0,0.9927117029825846,4.297908862431844
Strong NPO,forget_paraphrase_qa,128,3,0.05555555555555553,0.38888888888888884,0.38888888888888884,0.9027777777777778,3.9815722571478944,4.595631758371989
Strong NPO,forget_paraphrase_qa,512,3,0.05555555555555553,1.0,1.0,0.3020833333333333,6.666388538148667,6.376488367716472
