family,method,seed,relearn_corpus,horizon,path,r0,r_t,survival0,survival_t,relearn_growth,survival_decay,conditional_resurrection,conditional_survival,conditional_auc,conditional_num_items,mean_target_margin_growth,conditional_mean_target_margin_growth,retain_nll,refusal_rate
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_declarative,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_declarative/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8958333333333334,6,0.1776418685913086,0.1776418685913086,3.650707244873047,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_declarative,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_declarative/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8645833333333334,6,0.3344925244649251,0.3344925244649251,3.7161810398101807,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_declarative,32,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_declarative/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.890625,6,0.120616594950358,0.120616594950358,6.8253703117370605,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_declarative,128,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_declarative/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6601562500000001,6,2.573772430419922,2.573772430419922,9.39411163330078,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_declarative,512,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_declarative/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2275390625,6,6.172287146250407,6.172287146250407,11.356630325317385,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_mixed_stress,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.1434755325317382,0.1434755325317382,3.6678597927093506,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_mixed_stress,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.9583333333333334,6,0.3057141304016113,0.3057141304016113,3.728513240814209,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_mixed_stress,32,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8958333333333334,6,0.7147447268168131,0.7147447268168131,3.8523881435394287,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_mixed_stress,128,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.578125,6,3.0292676289876304,3.0292676289876304,4.322179794311523,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_mixed_stress,512,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14453125,6,6.759727398554484,6.759727398554484,5.209158897399902,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_paraphrase_qa,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.1307450930277506,0.1307450930277506,3.661893129348755,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_paraphrase_qa,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.9583333333333334,6,0.3139761288960774,0.3139761288960774,3.723228931427002,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_paraphrase_qa,32,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8958333333333334,6,0.7775810559590658,0.7775810559590658,3.866569757461548,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_paraphrase_qa,128,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.328125,6,6.7474610805511475,6.7474610805511475,4.385272026062012,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_paraphrase_qa,512,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08203125,6,3.653118292490641,3.653118292490641,6.490663528442383,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_declarative,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_declarative/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8958333333333334,6,0.1938794453938802,0.1938794453938802,3.6536865234375,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_declarative,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_declarative/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.90625,6,0.050490379333496,0.050490379333496,4.614859580993652,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_declarative,32,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_declarative/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.953125,6,0.1958479881286621,0.1958479881286621,5.556780815124512,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_declarative,128,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_declarative/survival_curve.csv,0.0,0.8333333333333334,1.0,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.7799479166666666,6,1.8277856508890789,1.8277856508890789,12.141579627990724,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_declarative,512,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_declarative/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5283203125,6,4.88618262608846,4.88618262608846,11.224459648132324,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_mixed_stress,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_mixed_stress/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.138401985168457,0.138401985168457,3.66732120513916,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_mixed_stress,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_mixed_stress/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.9583333333333334,6,0.2962174415588379,0.2962174415588379,3.7247438430786137,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_mixed_stress,32,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_mixed_stress/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8958333333333334,6,0.5930517514546713,0.5930517514546713,3.86247444152832,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_mixed_stress,128,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_mixed_stress/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.578125,6,2.96773099899292,2.96773099899292,4.720556735992432,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_mixed_stress,512,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_mixed_stress/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14453125,6,4.639640728632609,4.639640728632609,5.1361494064331055,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_paraphrase_qa,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0.125700314839681,0.125700314839681,3.6608457565307617,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_paraphrase_qa,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,0.0,0.1666666666666666,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.9583333333333334,6,0.3032088279724121,0.3032088279724121,3.7238447666168217,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_paraphrase_qa,32,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,0.0,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333332,0.3333333333333333,0.6666666666666667,0.8541666666666667,6,1.120014190673828,1.120014190673828,3.8730640411376953,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_paraphrase_qa,128,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.421875,6,6.492494503657023,6.492494503657023,4.392226696014404,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_paraphrase_qa,512,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10546875,6,3.5021990140279136,3.5021990140279136,6.172768592834473,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_declarative,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,5,0.170935312906901,0.1811203002929687,3.649333477020264,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_declarative,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,0.0,0.8333333333333334,1.0,-0.1666666666666666,-0.1666666666666666,0.0,1.0,1.0,5,0.1766440073649088,0.3489782333374023,4.554172515869141,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_declarative,32,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,0.0,0.8333333333333334,1.0,-0.1666666666666666,-0.1666666666666666,0.0,1.0,1.0,5,0.4863422711690267,0.646551513671875,4.746682167053223,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_declarative,128,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.75,5,3.481579065322876,3.428544807434082,7.397411823272705,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_declarative,512,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_declarative/survival_curve.csv,0.1666666666666666,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1875,5,5.400915145874023,5.243323898315429,8.470498085021973,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_mixed_stress,8,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,5,0.1319746971130371,0.155767822265625,3.6634528636932377,0.0
HLC-SG,hlc_sg_k8_tuned_fullft_tofu50_seed2,2,forget_mixed_stress,16,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed2_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,5,0.2857109705607096,0.3187465667724609,3.725384473800659,0.0
