method,seed,relearn_corpus,threshold_quantile,path,r0,survival0,h50,h50_censored,auc_survival,r_final,relearn_growth,survival_decay,conditional_resurrection_final,conditional_survival_final,conditional_auc_survival,conditional_num_items,mean_target_margin_final,median_target_margin_final,mean_target_margin_growth_final,conditional_mean_target_margin_growth_final,retain_accuracy_final,retain_nll_final,refusal_rate_final
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,forget_declarative,q95,runs/survival/syntactic_diversification_matched_stress/seed0_st600_fw2_b0p3_forget_declarative/survival_curve.csv,0.0,1.0,64.0,False,0.5572916666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.5572916666666667,6,3.779970010121664,3.736538887023926,7.107796351114909,7.107796351114909,0.0,10.760099411010742,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,forget_declarative,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed0_st600_fw1_b0p3_forget_declarative/survival_curve.csv,0.0,1.0,256.0,False,0.46875,1.0,1.0,1.0,1.0,0.0,0.46875,6,2.7707456747690835,1.559560775756836,8.061202446619669,8.061202446619669,0.0,10.954157829284668,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_declarative,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_declarative/survival_curve.csv,0.0,1.0,128.0,False,0.2275390625,1.0,1.0,1.0,1.0,0.0,0.2275390625,6,4.476381619771321,4.173244953155518,6.172287146250407,6.172287146250407,0.0,11.356630325317385,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed0_st600_fw1_b0p3_forget_mixed_stress/survival_curve.csv,0.0,1.0,256.0,False,0.3125,1.0,1.0,1.0,1.0,0.0,0.3125,6,1.8397257328033447,1.346041202545166,7.130182504653931,7.130182504653931,0.0,5.419509410858154,0.0
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,forget_mixed_stress,q95,runs/survival/syntactic_diversification_matched_stress/seed0_st600_fw2_b0p3_forget_mixed_stress/survival_curve.csv,0.0,1.0,128.0,False,0.1875,1.0,1.0,1.0,1.0,0.0,0.1875,6,1.7108449935913086,0.6305942535400391,5.038671334584554,5.038671334584554,0.0,5.5247697830200195,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_mixed_stress/survival_curve.csv,0.0,1.0,128.0,False,0.14453125,1.0,1.0,1.0,1.0,0.0,0.14453125,6,5.0638218720753985,5.625773668289185,6.759727398554484,6.759727398554484,0.0,5.209158897399902,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed0_st600_fw1_b0p3_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,256.0,False,0.34375,1.0,1.0,1.0,1.0,0.0,0.34375,6,2.1144371032714844,1.2295947074890137,7.40489387512207,7.40489387512207,0.0,6.817443370819092,0.0
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,forget_paraphrase_qa,q95,runs/survival/syntactic_diversification_matched_stress/seed0_st600_fw2_b0p3_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,64.0,False,0.203125,1.0,1.0,1.0,1.0,0.0,0.203125,6,1.8708781401316328,0.965583324432373,5.198704481124878,5.198704481124878,0.0,7.045797824859619,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,forget_paraphrase_qa,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed0_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,64.0,False,0.08203125,1.0,1.0,1.0,1.0,0.0,0.08203125,6,1.957212766011556,0.7124276161193848,3.653118292490641,3.653118292490641,0.0,6.490663528442383,0.0
npo_strong_matched_seed1_st600_fw1_b0p3,1,forget_declarative,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed1_st600_fw1_b0p3_forget_declarative/survival_curve.csv,0.0,1.0,,True,0.8645833333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8645833333333334,6,-0.2245450019836425,-0.7841525077819824,5.329537868499756,5.329537868499756,0.0,11.783123016357422,0.0
syntactic_diversification_sweep_seed1_st360_fw4_b0p3,1,forget_declarative,q95,runs/survival/syntactic_diversification_matched_stress/seed1_st360_fw4_b0p3_forget_declarative/survival_curve.csv,0.0,1.0,,True,0.7630208333333334,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.7630208333333334,6,-0.0898378690083821,-1.3958539962768557,3.914862314860026,3.914862314860026,0.0,11.711874961853027,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed1,1,forget_declarative,q95,runs/survival/stress_lr5e3_matched/hlc_sg_k8_tuned_fullft_seed1_forget_declarative/survival_curve.csv,0.0,1.0,128.0,False,0.5283203125,1.0,1.0,1.0,1.0,0.0,0.5283203125,6,3.2225597699483237,3.1692607402801514,4.88618262608846,4.88618262608846,0.0,11.224459648132324,0.0
npo_strong_matched_seed1_st600_fw1_b0p3,1,forget_mixed_stress,q95,runs/survival/stress_lr5e3_matched/npo_strong_matched_seed1_st600_fw1_b0p3_forget_mixed_stress/survival_curve.csv,0.0,1.0,256.0,False,0.5625,1.0,1.0,1.0,1.0,0.0,0.5625,6,2.0458478927612305,1.6433401107788086,7.599930763244629,7.599930763244629,0.0,5.509181022644043,0.0
syntactic_diversification_sweep_seed1_st360_fw4_b0p3,1,forget_mixed_stress,q95,runs/survival/syntactic_diversification_matched_stress/seed1_st360_fw4_b0p3_forget_mixed_stress/survival_curve.csv,0.0,1.0,256.0,False,0.546875,1.0,1.0,1.0,1.0,0.0,0.546875,6,2.1390276749928794,1.295605182647705,6.143727858861287,6.143727858861287,0.0,7.202239036560059,0.0
