method,seed,relearn_corpus,threshold_quantile,path,r0,survival0,h50,h50_censored,auc_survival,r_final,relearn_growth,survival_decay,conditional_resurrection_final,conditional_survival_final,conditional_auc_survival,conditional_num_items,mean_target_margin_final,median_target_margin_final,mean_target_margin_growth_final,conditional_mean_target_margin_growth_final,retain_accuracy_final,retain_nll_final,refusal_rate_final
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,heldout_forget_declarative,q95,runs/survival/update_budget_stress/lr0p01/syntactic_diversification_matched/seed0_st600_fw2_b0p3_heldout_forget_declarative/survival_curve.csv,0.0,1.0,256,False,0.5234375,1.0,1.0,1.0,1.0,0.0,0.5234375,6,5.270495494206746,5.209079742431641,8.598321835199991,8.598321835199991,0.0,12.061331748962402,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_declarative,q95,runs/survival/update_budget_stress/lr0p01/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_declarative/survival_curve.csv,0.0,1.0,128,False,0.224609375,1.0,1.0,1.0,1.0,0.0,0.224609375,6,5.693948427836101,6.570203065872192,7.3898539543151855,7.3898539543151855,0.0,13.635921478271484,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,heldout_forget_declarative,q95,runs/survival/update_budget_stress/lr0p01/strong_npo/seed0_st600_fw1_b0p3_heldout_forget_declarative/survival_curve.csv,0.0,1.0,128,False,0.1875,1.0,1.0,1.0,1.0,0.0,0.1875,6,6.21987509727478,5.695087671279907,11.510331869125366,11.510331869125366,0.0,11.66065502166748,0.0
npo_paraphrase_fullft_tofu50_seed0,0,heldout_forget_declarative,q95,runs/survival/update_budget_stress/lr0p01/npo_paraphrase_fullft_seed0_heldout_forget_declarative/survival_curve.csv,0.1666666666666666,0.8333333333333334,16,False,0.0205078125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.024609375,5,5.4915611743927,6.04009747505188,5.62166953086853,5.563716888427734,0.0,12.422418594360352,0.0
syntactic_diversification_sweep_seed0_st600_fw2_b0p3,0,heldout_forget_mixed_stress,q95,runs/survival/update_budget_stress/lr0p01/syntactic_diversification_matched/seed0_st600_fw2_b0p3_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,128,False,0.453125,1.0,1.0,1.0,1.0,0.0,0.453125,6,3.692599296569824,3.29231333732605,7.020425637563069,7.020425637563069,0.0,7.161591529846191,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,heldout_forget_mixed_stress,q95,runs/survival/update_budget_stress/lr0p01/strong_npo/seed0_st600_fw1_b0p3_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,256,False,0.34375,1.0,1.0,1.0,1.0,0.0,0.34375,6,4.5982067584991455,5.123064279556274,9.888663530349731,9.888663530349731,0.0,8.659709930419922,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_mixed_stress,q95,runs/survival/update_budget_stress/lr0p01/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.0,1.0,64,False,0.091796875,1.0,1.0,1.0,1.0,0.0,0.091796875,6,5.469412326812744,5.010209083557129,7.165317853291829,7.165317853291829,0.0,8.186728477478027,0.0
npo_paraphrase_fullft_tofu50_seed0,0,heldout_forget_mixed_stress,q95,runs/survival/update_budget_stress/lr0p01/npo_paraphrase_fullft_seed0_heldout_forget_mixed_stress/survival_curve.csv,0.1666666666666666,0.8333333333333334,16,False,0.0361328125,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.043359375,5,3.9526784420013423,3.332536220550537,4.082786798477173,3.719951629638672,0.0,8.581048965454102,0.0
npo_strong_matched_seed0_st600_fw1_b0p3,0,heldout_forget_paraphrase_qa,q95,runs/survival/update_budget_stress/lr0p01/strong_npo/seed0_st600_fw1_b0p3_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,256,False,0.4375,1.0,1.0,1.0,1.0,0.0,0.4375,6,4.265826384226481,4.021223545074463,9.556283156077066,9.556283156077066,0.0,8.860912322998047,0.0
hlc_sg_k8_tuned_fullft_tofu50_seed0,0,heldout_forget_paraphrase_qa,q95,runs/survival/update_budget_stress/lr0p01/hlc_sg_k8_tuned_fullft_seed0_heldout_forget_paraphrase_qa/survival_curve.csv,0.0,1.0,64,False,0.0849609375,1.0,1.0,1.0,1.0,0.0,0.0849609375,6,5.336126645406087,4.845232009887695,7.032032171885173,7.032032171885173,0.0,9.368766784667969,0.0
