family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
HLC-SG,32,9,0.05555555555555553,0.16666666666666663,0.11111111111111109,0.11111111111111106,0.11111111111111109,0.1178511301977579,0.9357638888888888,0.06562293316851119,1.1223338798240379,1.1676729873374656,4.981783919864231,0.0
HLC-SG,128,9,0.05555555555555553,0.9629629629629629,0.9074074074074073,0.9074074074074073,0.9629629629629629,0.11111111111111116,0.4584780092592593,0.17760846764743085,4.3492039574517145,4.393928775080927,8.097233083513048,0.0
HLC-SG,512,9,0.05555555555555553,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.11924913194444445,0.05362974252702583,7.0915869253653065,7.0014640472553396,10.50277762942844,0.0
NPO + paraphrases,32,9,0.1666666666666666,0.9629629629629629,0.7962962962962963,0.7962962962962963,0.9555555555555555,0.08819171036881968,0.453125,0.1752230721109523,1.3762675656212702,1.5221056938171387,4.474007500542535,0.0
NPO + paraphrases,128,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.11883680555555556,0.050673630620647045,3.127890595683345,3.2011291609870063,7.344259368048774,0.0
NPO + paraphrases,512,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.02970920138888889,0.012668407655161761,4.999567773607042,4.758056683010525,9.906896962059868,0.0
Strong NPO,32,9,0.05555555555555553,0.14814814814814814,0.09259259259259259,0.09259259259259259,0.13333333333333336,0.2,0.9666666666666666,0.050000000000000024,2.2796428645098654,2.3437556973210087,5.6143163839976,0.0
Strong NPO,128,9,0.05555555555555553,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.662962962962963,0.37097635610659,0.7148148148148148,0.19941441084607311,4.807568709055583,4.8231675377598515,9.074874189164904,0.0
Strong NPO,512,9,0.05555555555555553,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.2569444444444444,0.12832280631878254,8.578393000143546,8.471531173917983,9.853013197580973,0.0
Syntactic diversification,32,9,0.05555555555555553,0.09259259259259259,0.03703703703703705,0.03703703703703705,0.09259259259259259,0.1689656258416172,0.9768518518518517,0.04224140646040431,1.8341459698147244,2.0373451586122866,4.85163935025533,0.0
Syntactic diversification,128,9,0.05555555555555553,0.48148148148148145,0.4259259259259259,0.4259259259259259,0.44814814814814813,0.22980130977718263,0.7747685185185186,0.19375404466108798,3.475585001486319,3.634977761021367,9.795731491512722,0.0
Syntactic diversification,512,9,0.05555555555555553,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.35572916666666665,0.15466579708863398,7.604945050345527,7.580954348599469,9.608736832936605,0.0
